frameID,BVH,gBuffer,shadowMask,lighting,copy
295,0.0012032,6.60655,5.74399,1.67123,0.11001
296,0.0012672,6.71562,5.949,1.6562,0.109683
297,0.00128,6.59851,5.84492,1.62921,0.110938
298,0.0012736,6.19738,5.93998,1.73059,0.145235
299,0.0012672,6.39423,5.91542,1.61729,0.110394
300,0.0012672,6.58134,5.85586,1.63926,0.109344
301,0.0012672,6.30504,5.80524,1.77078,0.113216
302,0.0012736,6.5636,5.75068,1.606,0.110669
303,0.0012864,6.54947,5.74102,1.64057,0.115712
304,0.0012608,6.57631,5.86517,1.72948,0.12064
305,0.0012736,6.44407,5.88022,1.61578,0.106656
306,0.0012736,6.23988,6.05365,1.69479,0.140646
307,0.0013056,6.23676,6.14313,1.68856,0.11113
308,0.0012672,6.16853,6.12586,1.70453,0.120301
309,0.0012352,6.11494,6.30121,1.73542,0.125741
310,0.0012672,6.13872,6.15352,1.58905,0.105626
311,0.0012672,5.86471,6.22749,1.75852,0.127066
312,0.0012608,6.2925,6.2815,1.71568,0.121152
313,0.0012608,6.01187,6.21,1.6494,0.11449
314,0.0012416,5.88617,6.29525,1.75674,0.12393
315,0.00128,6.24959,6.24181,1.61007,0.113734
316,0.0012672,5.86028,6.25655,1.70874,0.119571
317,0.00128,6.29439,6.36035,1.76571,0.11616
318,0.0013248,6.21773,6.21133,1.64854,0.108902
319,0.0012736,6.11749,6.359,1.77303,0.122157
320,0.0011904,6.51612,6.24306,1.60346,0.105651
321,0.0012608,6.23786,6.36505,1.79826,0.125184
322,0.0012544,6.73839,6.18986,1.61507,0.139379
323,0.0012608,6.71428,6.36835,1.7764,0.116986
324,0.0013696,6.62169,6.34167,1.82241,0.125792
325,0.0012544,7.29748,6.264,1.56813,0.115277
326,0.0012672,6.7668,6.35859,1.81588,0.125318
327,0.00128,6.74179,6.26181,1.798,0.129299
328,0.0012672,7.25134,6.15969,1.57949,0.120275
329,0.0012608,7.52175,6.20704,1.80682,0.117184
330,0.0012736,7.52021,6.09121,1.82889,0.130534
331,0.0012416,8.25492,6.09482,1.84631,0.135738
332,0.0012736,8.33089,6.1925,1.84204,0.128595
333,0.0012736,9.08113,6.23542,1.74335,0.113274
334,0.0012928,9.35995,6.06111,1.61265,0.115456
335,0.0012416,8.69789,6.22222,1.83376,0.133459
336,0.0012736,8.44,6.26072,1.86194,0.143872
337,0.0012672,8.91429,6.28063,1.70553,0.111418
338,0.0013248,8.87999,6.10108,1.57321,0.108646
339,0.0012608,9.2307,5.96729,1.55851,0.109619
340,0.0012672,9.15179,6.06324,1.74531,0.116115
341,0.00128,9.31955,6.23311,1.74934,0.113248
342,0.0012672,10.024,6.14676,1.58171,0.112384
343,0.0012736,10.2782,6.43828,1.71629,0.114771
344,0.0012672,10.5385,6.41512,1.75123,0.112378
345,0.0012672,10.6489,6.48078,1.71528,0.122432
346,0.0012672,10.7616,6.51068,1.69587,0.115834
347,0.0019136,10.2589,6.64588,1.67982,0.10992
348,0.0013184,10.1963,6.4854,1.74167,0.114739
349,0.001248,10.3422,6.3473,1.74682,0.112493
350,0.0012672,10.4334,6.15861,1.60804,0.107603
